Resin Code/Original Identifier,Source,Sample,Class1,Class2,Physical State,Alternate names,Melt flow rate,bigSMILES,CAS number,Material Keywords,reference URL,density [g/cm3],crystallinity,SCB [CH3/1000C]
,Commercial Supplier,0HDPE_100PP,blends,HDPE and PP blends,filament,blends of 0% HDPE and 100% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.89950628,,345.2333333
,NIST Standards and Commerical Supplier,10HDPE_90PP,blends,HDPE and PP blends,filament,blends of 10% HDPE and 90% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.904611895,,303.8666667
,NIST Standards and Commerical Supplier,20HDPE_80PP,blends,HDPE and PP blends,filament,blends of 20% HDPE and 80% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.921142285,,268.1666667
,NIST Standards and Commerical Supplier,30HDPE_70PP,blends,HDPE and PP blends,filament,blends of 30% HDPE and 70% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.925321027,,236.5
,NIST Standards and Commerical Supplier,40HDPE_60PP,blends,HDPE and PP blends,filament,blends of 40% HDPE and 60% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.932648907,,202
,NIST Standards and Commerical Supplier,50HDPE_50PP,blends,HDPE and PP blends,filament,blends of 50% HDPE and 50% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.935382366,,164.6666667
,NIST Standards and Commerical Supplier,60HDPE_40PP,blends,HDPE and PP blends,filament,blends of 60% HDPE and 40% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.940039509,,131.4
,NIST Standards and Commerical Supplier,70HDPE_30PP,blends,HDPE and PP blends,filament,blends of 70% HDPE and 30% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.954004878,,86.55
,NIST Standards and Commerical Supplier,80HDPE_20PP,blends,HDPE and PP blends,filament,blends of 80% HDPE and 20% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.949050953,,66.23333333
,NIST Standards and Commerical Supplier,90HDPE_10PP,blends,HDPE and PP blends,filament,blends of 90% HDPE and 10% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.953655545,,26.86666667
,NIST Standards and Commerical Supplier,100HDPE_0PP,blends,HDPE and PP blends,filament,blends of 100% HDPE and 0% PP,,"{[][$]CC[$][]}, {[][$]CC(C)[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.959366631,,2.266666667
,Repsol,L_0,blends,HDPE and LDPE blends,pellet,blends of 0% LDPE and 100% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.938397448,,5.15
,Repsol,L_10,blends,HDPE and LDPE blends,filament,blends of 10% LDPE and 90% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.944340714,,7.9
,Repsol,L_20,blends,HDPE and LDPE blends,filament,blends of 20% LDPE and 80% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.943398516,,16.45
,Repsol,L_30,blends,HDPE and LDPE blends,filament,blends of 30% LDPE and 70% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.936812368,,12.7
,Repsol,L_50,blends,HDPE and LDPE blends,filament,blends of 50% LDPE and 50% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.932230403,,14.45
,Repsol,L_70,blends,HDPE and LDPE blends,filament,blends of 70% LDPE and 30% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.926355678,,23.45
,Repsol,L_80,blends,HDPE and LDPE blends,filament,blends of 80% LDPE and 20% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.92460771,,16.8
,Repsol,L_90,blends,HDPE and LDPE blends,filament,blends of 90% LDPE and 10% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.920275794,,20.35
,Repsol,L_100,blends,HDPE and LDPE blends,pellet,blends of 100% LDPE and 0% HDPE,,"{[][$]CC[$][]}, {[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",N/A?,"`polyolefins','blends','semicrystalline'",,0.917343655,,26.7
